"","Country.Region","Total_confirmed","Total_deaths","Total_Recovered","HDI_Rank_2018","Year_2018","Country_Code","Population_2018","Cases_million","Recovered_percentage","Measles_2018","Expenditure_2016","Avg_IQ_temperature"
"73","Italy",156363,19899,34211,29,0.883,"ITA",60431283,2587.45127089226,21.8792169503015,7,8.9,6.49769047619048
"74","Jamaica",69,4,13,96,0.726,"JAM",2934855,23.5105311846752,18.8405797101449,11,6.1,25.4017380952381
"75","Japan",6748,108,762,19,0.915,"JPN",126529100,53.3316051406356,11.2922347362181,3,10.9,3.14114285714286
"76","Jordan",389,7,201,102,0.723,"JOR",9956011,39.0718732632979,51.6709511568123,8,5.5,12.3510238095238
"77","Kazakhstan",951,10,99,50,0.817,"KAZ",18276499,52.0340356213737,10.410094637224,1,3.5,-7.9317619047619
"78","Kenya",197,8,25,147,0.579,"KEN",51393010,3.83320611110344,12.6903553299492,11,4.5,26.0443095238095
"79","Kuwait",1234,1,142,57,0.808,"KWT",4137309,298.261502827079,11.5072933549433,1,3.9,16.5220714285714
"80","Latvia",651,5,16,39,0.854,"LVA",1926542,337.911138194755,2.45775729646697,2,6.2,-3.13114285714286
"81","Lebanon",630,20,80,93,0.73,"LBN",6848925,91.985238559336,12.6984126984127,18,8,11.3154523809524
"82","Liberia",50,5,3,176,0.465,"LBR",4818977,10.3756461174228,6,9,9.6,26.947119047619
"83","Lithuania",1053,23,97,34,0.869,"LTU",2789533,377.482539192044,9.21177587844254,8,6.7,-2.36119047619048
"84","Luxembourg",3281,66,500,21,0.909,"LUX",607728,5398.79683016086,15.2392563242914,1,6.2,3.62559523809524
"85","Madagascar",106,0,20,162,0.521,"MDG",26262368,4.03619353746014,18.8679245283019,38,6,25.612
"86","Malawi",13,2,0,172,0.485,"MWI",18143315,0.716517350881027,0,13,9.8,23.2703095238095
"87","Malaysia",4683,76,2108,61,0.804,"MYS",31528585,148.531879879798,45.0138799914585,4,3.8,26.3527619047619
"88","Mali",105,9,22,184,0.427,"MLI",19077690,5.50381099598536,20.952380952381,30,3.8,25.2422857142857
"89","Malta",378,3,44,28,0.885,"MLT",483530,781.750873782392,11.6402116402116,4,9.3,13.4847619047619
"90","Mauritania",7,1,2,161,0.527,"MRT",4403319,1.58970994379467,28.5714285714286,22,4.2,23.364619047619
"91","Mauritius",324,9,42,66,0.796,"MUS",1265303,256.065148031736,12.962962962963,1,5.7,26.8903095238095
"92","Mexico",4219,273,1772,76,0.767,"MEX",126190788,33.4335022933687,42.0004740459825,3,5.5,17.343380952381
"93","Moldova",1662,31,94,107,0.711,"MDA",3545883,468.712588655632,5.65583634175692,7,9,0.0176190476190476
"94","Mongolia",16,0,4,92,0.735,"MNG",3170208,5.04698745318919,25,1,3.8,-15.0297142857143
"95","Montenegro",272,3,5,52,0.816,"MNE",622345,437.056616506921,1.83823529411765,42,7.6,2.7807380952381
"96","Morocco",1661,118,177,121,0.676,"MAR",36029138,46.1015747864964,10.6562311860325,1,5.8,12.4990952380952
"97","Mozambique",21,0,2,180,0.446,"MOZ",29495962,0.711961861084578,9.52380952380952,15,5.1,26.1208095238095
"98","Namibia",16,0,3,130,0.645,"NAM",2448255,6.53526695544378,18.75,18,9.1,24.1179285714286
"99","Nepal",12,0,1,147,0.579,"NPL",28087871,0.42723067191529,8.33333333333333,9,6.3,9.59290476190476
"100","Netherlands",25746,2747,295,10,0.934,"NLD",17231017,1494.16601469315,1.1458090577177,7,10.4,4.57640476190476
"101","Netherlands",25746,2747,295,10,0.934,"NLD",17231017,1494.16601469315,1.1458090577177,7,10.4,4.0872380952381
"102","New Zealand",1330,4,471,14,0.921,"NZL",4885500,272.234162317061,35.4135338345865,8,9.2,15.1076666666667
"103","Nicaragua",9,1,4,126,0.651,"NIC",6465513,1.3920009131526,44.4444444444444,1,8.7,26.2217857142857
"104","Niger",529,12,75,189,0.377,"NER",22442948,23.570878478175,14.1776937618147,23,6.2,23.6479047619048
"105","Nigeria",323,10,85,158,0.534,"NGA",195874740,1.64901303761782,26.3157894736842,35,3.6,27.8464047619048
"106","Norway",6525,128,32,1,0.954,"NOR",5314336,1227.81096264896,0.490421455938697,4,10.5,-6.37283333333333
"107","Oman",599,4,109,47,0.834,"OMN",4829483,124.029839218815,18.1969949916528,1,4.3,22.5907380952381
"108","Pakistan",5230,91,1028,152,0.56,"PAK",212215030,24.6448142716376,19.6558317399618,24,2.8,13.5079285714286
"109","Panama",3234,79,23,67,0.795,"PAN",4176873,774.263426252127,0.711193568336425,2,7.3,27.3325714285714
"110","Papua New Guinea",2,0,0,155,0.543,"PNG",8606316,0.232387469853535,0,39,2,25.273119047619
"111","Paraguay",134,6,22,98,0.724,"PRY",6956071,19.263748170483,16.4179104477612,7,8,27.421119047619
"112","Peru",7519,193,1798,82,0.759,"PER",31989256,235.047667254281,23.9127543556324,15,5.1,20.9510238095238
"113","Philippines",4648,297,197,106,0.712,"PHL",106651922,43.5810242594597,4.23838209982788,33,4.4,26.304
"114","Poland",6674,232,439,32,0.872,"POL",37978548,175.730783599204,6.577764459095,7,6.5,-0.277928571428571
"115","Portugal",16585,504,277,40,0.85,"PRT",10281762,1613.05037016029,1.67018390111547,1,9.1,10.398880952381
"116","Qatar",2979,7,275,41,0.848,"QAT",2781677,1070.93670472884,9.23128566633098,1,3.1,20.0026666666667
"117","Romania",6300,316,852,52,0.816,"ROU",19473936,323.509330625304,13.5238095238095,10,5,0.536190476190476
"118","Rwanda",126,0,25,157,0.536,"RWA",12301939,10.2422878214564,19.8412698412698,1,6.8,19.9743333333333
"119","Saudi Arabia",4462,59,761,36,0.857,"SAU",33699947,132.403769062307,17.0551322277006,2,5.7,18.9993333333333
"120","Senegal",280,2,171,166,0.514,"SEN",15854360,17.6607570409654,61.0714285714286,18,5.5,27.4599761904762
"121","Serbia",3630,80,0,63,0.799,"SRB",6982084,519.902080811402,0,8,9.1,2.23116666666667
